lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
hire|v. 雇佣；租用；n. 租用；新雇员|The company hired some new employees this month.|这家公司这个月雇用了几名新员工。|hire out 租用|【辨析】hide v.把……藏起来，隐藏；fire n.失火，火灾；wire n.金属丝，金属线；hair n.毛发，（尤指）头发；heir n.继承人，子嗣；【谐音】海尔(hire)"：海尔是个大公司，需要雇人。；【变形】现在分词：hiring
cycling|n. 自行车运动|Cycling can always ease my nerves.|骑自行车总能缓解我的紧张情绪。||【辨析】cyclist n.骑自行车的人；cycle   n.自行车，摩托车；【谐音】塞颗铃(cycling)"：骑自行车时前面要装个铃铛，形象描述骑自行车的动作。；【变形】现在分词: cycling
productive|adj. 多产的；富有成效的|The aim was to maximize the machine's productive capacity.|其目的是最大化机器生产能力。|a productive worker 有收获的一小时；a productive hour 很有收获的一小时|【辨析】production   n.（以销售为目的的）生产，制造；product      n.产品，制品；productivity n.生产率，生产力；produce      v.引起，造成；【谐音】颇大颗替我(productive)"：能代替我工作，说明很有成效。
speculate|v. 推测|It is useless to speculate why he did it.|对他为什么这么做妄加猜测毫无用处。||【辨析】stipulate   v.规定，明确要求；speculation n.投机，投机买卖；spectacle   n.精彩的表演，壮观的场面；calculate   v.计算，核算；spectator   n.（尤指体育比赛的）观看者，观众；spectacular adj.壮观的，令人惊叹的；【谐音】死背可累的(speculate)"：死记硬背太累了，要学会推测和思索。；【变形】现在分词：speculating
miracle|n. 奇迹；神迹|The country has performed a miracle by lifting most of its people out of poverty.|这个国家让大多数民众脱贫，创造了奇迹。|nothing less than 简直是,完全是|【辨析】muscle    n.肌肉；miserable adj.痛苦的，使人难受的；mirror    n.镜子；marvel    n.令人惊异的人（或事），奇迹；admire    v.钦佩，仰慕；【谐音】蜜(mi)热(ra)抠(cle)"：度蜜月还这么抠，可真是奇迹。
herd|n. 兽群，牧群；人群|I saw a herd of cows and deer in this area.|我看到这片区域有一群牛和一群鹿。|a herd of 一群(常用于动物)|【辨析】herb   n.药草，香草；herald v.预示……的来临；heir   n.继承人，子嗣；hire   v.<英>租用，租借；shed   v.去除，摆脱
sequence|n. 一系列；顺序|He had to attend a sequence of meetings.|他得参加一系列会议。|a sequence of 一系列；in sequence 按顺序；put sth in sequence 将。。。按顺序排列|【辨析】sequential  adj.连续的，按顺序的；consequence n.结果，后果；squeeze     v.挤压，捏；subsequent  adj.随后的，接着的；consequent  adj.随之发生的，由此引起的；frequent    adj.频繁的，经常性的；【变形】现在分词：sequencing
skillful|adj. 熟练的；巧妙的|The skillful use of language is my biggest advantage when applying for a job.|语言的熟练运用是我申请这份工作时最大的优势。|be skillful in 精于
prize|n. 奖品，奖金；难得可贵的事物；adj. （应）获奖的；优秀的；v. 珍视，重视|She was awarded the Nobel Peace prize .|她获颁诺贝尔和平奖。|consolation prize 安慰奖；makes a mess 弄得一团糟|【辨析】price  n.价格；pride  n.自豪（感）；praise v.（尤指公开地）赞美，表扬；【谐音】珍藏(prize)"：这个让我惊喜的奖品。；【变形】现在分词：prizing
trick|n. 诡计；戏法；诀窍；v. 欺骗，欺诈|They had to think of a trick to get past the guards.|他们只好想出个计谋骗过岗哨。|do the trick 起作用；奏效；达到目的；make a confession 招供，坦白；trick people 有诀窍的人|【辨析】tricky adj.难对付的，棘手的；truck  n.卡车，载重汽车；track  n.小道，小径；brick  n.砖，砖块；tick   n.<英>钩号；strike v.打，撞；trap   n.（捕捉动物的）陷阱，网，夹子；【谐音】吹客(trick)"：吹牛的人常使用欺骗和诡计。
relevant|adj. 紧密相关的；有意义的|Religions are closely relevant to people's lives in that country.|在那个国家，宗教和人们的生活紧密相关。|be relevant to 相关的|【辨析】relevance  n.相关性，实用性，意义；reluctant  adj.勉强的，不情愿的；relate     v.联系，使有联系；related    adj.相关的，有联系的；relation   n.（人或物间的）联系；relative   n.亲戚，亲属；relatively adv.相当地，相对地；【谐音】热了问他(relevant)"：问与此事相关的人。
problematic|adj. 有问题的，造成困难的|The survey showed that the reform would be highly problematic .|调查显示，改革将会困难重重。||【谐音】问题是马踢客(problematic)"：马今天不对劲，表示有问题的，有疑问的。
sip|v. 小口地喝；n. 小口喝，一小口的量|He sipped at his wine with pleasure and then put it down.|他愉快地抿了一口红酒，随后把它放了下来。|sip sap 啜饮树汁|【辨析】zip  n.<英>拉链，拉锁；hip  n.臀部，髋；rip  v.（使）撕裂，（使）划破；lip  n.嘴唇；slip v.滑倒，失足；tip  v.（使）倾斜，（使）斜侧；dip  v.浸，蘸；sob  v.啜泣，抽噎；suck v.吸，吮，啜；【变形】过去式：sipped；过去分词：sipped；现在分词：sipping
transference|n. 转移，转让，调动|The struggle for transference of power has weaken the company.|权力的斗争削弱了公司。||【辨析】transfer       v.（使）转移，搬迁；transparent    adj.透明的，清澈的；transparency   n.透明，透明性；preference     n.偏爱，偏好；reference      n.提及，谈到；transform      v.使改观，使变形，使转化；interference   n.干涉，干预；transformation n.（彻底或重大的）改观，变化，转变；transition     n.过渡，转变；transport      n.运输，运送；transplant     v.移植（器官、皮肤等）；translator     n.（尤指从事笔译的）译者，翻译家；translation    n.翻译；transaction    n.交易，买卖，业务；transmission   n.（无线电、电视等信号的）播送，发送
resistance|n. 反抗，抵制；阻力；免疫力|There was a lot of resistance to the plan when it was first introduced.|该计划刚被采用时，遭到了众多抵制。|in resistance 抵抗；obstinate resistance 顽强的抵抗|【辨析】resistant   adj.抵制的，反抗的；assistance  n.帮助，援助；renaissance n.复兴，再生；resist      v.阻挡，抵制；residence   n.住宅，住所；insistence  n.坚决要求，坚持主张；persistence n.继续存在，维持；assistant   n.助理，助手；reside      v.<正式>居住，定居；resident    n.居民，住户；【谐音】与其是等死(resistance)"：不如奋起反抗，勇于面对阻力。
contest|n. 比赛，竞赛；争夺；v. 争取赢得；就…提出异议|He won the singing contest held by his company.|他赢了公司举办的歌唱比赛。||【辨析】content    adj.满足的，满意的，甘愿的；contact    n.联系，联络；context    n.背景，环境；concert    n.音乐会，演奏会；consent    n.许可，允许；contend    v.声称，主张；contrast   n.差异，对比；contract   n.合同，契约；contention n.看法，观点；protest    n.抗议，反对；compete    v.竞争，对抗；contrary   adj.相反的，相对的；competent  adj.能干的，能胜任的
personnel|n. 全体人员；人事部门|She works in personnel .|她在人事部工作。|military personnel 军事人员 personnel 人事部门；Personnel Department 人事部门|【辨析】personal    adj.个人的，私人的；person      n.人；personally  adv.就个人而言；personality n.个性，性格；【谐音】person闹(personnel)"：很多人，指人事部。
list|n. 清单；v. 把…列成清单；列举|The teacher asks the students to make a list of all the things they want to do.|老师让学生们把他们想做的事情全部列成清单。||【辨析】fist n.拳，拳头；last adj.最后的；lift v.提起，举起
bowel|n. 肠|The patient has trouble with his bowels .|这位病人的肠道有问题。|relax the bowels 通便；bowel cancer 肠癌 move ones bowels 排便 bowel movements 排便 have bowel movements 排便 此外bowel有内部深处的意思 例如 in the bowels of the earth 一般做名词时 常用作复数 加s；have a bowel 上厕所；make a bowel movement 解大便|【谐音】饱哦(bow)~(el)"：吃饱后，肠子就满足了。
elevation|n. 提拔，提高；海拔；高度|The city is at an elevation of 2,000 metres.|这座城市海拔2000米。||【辨析】evaluation n.评价，评估；evolution  n.进化（论）；elevate    v.提拔，提升；promotion  n.提拔，晋升；【谐音】矮立为升(elevation)"：矮个子站起来就提升高度了。
drain|v. （使）流干；（使）流走；使耗尽；n. 下水道；耗费|The day's events completely drained me of all strength.|这天的事情使我精疲力竭。|drainage system 排水系统；drain the cup 干杯 耗尽，排水；brain drian 人才流失|【辨析】brain    n.脑；grain    名词 n. 谷物，谷粒；strain   n.焦虑，紧张；domain   n.领域，范围；stain    v.（被）玷污，留下污渍；dry      adj.干的；restrain v.制止，阻止；【谐音】坠呢(drain)"：下水道里各种脏东西正往下排走。
luxury|n. 奢侈（品）；难得的享受；adj. 奢侈的|Gucci is a luxury brand.|古驰是一个奢侈品牌。||【辨析】luxurious adj.奢侈的，豪华的；【谐音】幸运(luck)水(y)"：奢侈品如同幸运之水。；【变形】复数形式：luxuries
blame|v. 把……归咎于，责怪；n. 责备|The boy was blamed for bad behaviors at the family dinner.|这个男孩因为在一家人晚餐时的不良举止而被斥责了。|be to blame 该受责备 应该承担责任；blame for 因···受责备；起因于····；归咎于···|【辨析】blade n.刀片，刀刃；flame n.火焰，火舌；lame  adj.瘸的，跛的，残疾的；【谐音】不累么(blame)"：一直责怪他人，不累么？；【变形】现在分词：blaming
resist|v. 抵抗，抵制；使不受…伤害|Neither children nor adults could resist the temptation of a free toy.|孩子和成年人都无法抵挡免费玩具的诱惑。||【辨析】assist     v.帮助，协助；insist     v.坚决要求，坚持；resistant  adj.抵制的，反抗的；persist    v.继续存在，持续；resistance n.反对，抵制；protest    n.抗议，反对
vendor|n. 小贩|He often buys a copy from a newspaper vendor on his way to work.|他经常在上班路上从报贩那里买一份报纸。|street vendor 街头小贩；street venndors 街上的摊贩；went to door 进门看见小贩；roadside vendor 路边摊|【辨析】tender adj.温柔的，亲切的；【谐音】万达(vendor)"：大型商场门口常有小商贩摆摊。
language|n. 语言|Experts have been studying the language of dolphins.|科学家一直在研究海豚的交流方式。|lesser-known languages 小语种|【辨析】luggage  n.行李；laughter n.笑，笑声；【谐音】烂规矩(language)"：学习语言时总有许多复杂的规则。
apart|adv. 相隔；分开地；破裂地；除…外|How far apart should the two cars be?|两辆车应相距多远？|take apart 拆开; 拆卸；apart from 除...以外|【辨析】part      n.部分；depart    v.启程，出发；apartment n.公寓套房；party     n.聚会，派对；partly    adv.部分地，在某种程度上；【谐音】我怕他(apart)"：因为分开了，我怕他变心。
band|n. 乐队；条，带；一伙|She's a singer with a band .|她是一个乐队的歌手。|a banding machine 自动存取机；band together 联手，携手|【辨析】bend    v.弯曲（身体关节）；bond    n.纽带，联系；bank    n.银行；brand   n.品牌，商标；bound   adj.必然的，肯定的；bandage n.绷带；blind   adj.失明的，盲的；blank   adj.空白的，空的；lend    v.借给，借出；bunch   n.束，串，扎；bow     v.鞠躬，点头；abandon v.抛弃，遗弃；belt    n.腰带，皮带；【谐音】绑的(band)"：几个人绑在一起就是乐队。
entitle|v. 使有权利，使符合资格；给…命名|You will be entitled to your pension when you reach 65.|你到65岁就有资格享受养老金。|be entitled to 有……资格|【辨析】entire adj.全部的，整个的；title  n.（书籍、诗歌、图画、乐曲等的）名称，标题；【谐音】应抬头(entitle)"：已经授权给你了，你应该把头抬起来了。；【变形】现在分词：entitling
steak|n. 牛排，鱼排|I put a forkful of steak in my mouth.|我叉了一块牛排放进嘴里。||【辨析】stack  n.（整齐的）一堆；steam  n.蒸汽，水蒸气；steal  v.偷窃，盗窃；stock  n.（商店的）现货，存货，库存；steel  n.钢，钢铁；steep  adj.（路、山等）陡峭的；stake  n.股本，股份；stale  adj.（食物）不新鲜的，变味的；stamp  n.邮票；stroke n.中风；stream n.小河，小溪；scream v.（因伤痛、害怕、激动等）尖叫；sheer  adj.（用于强调）纯粹的，完全的；【谐音】是待客(steak)"：牛排是待客的好选择。
aggression|n. 侵略，侵犯；攻击性|The research shows that computer games may cause aggression .|研究显示，电脑游戏可能引起好斗情绪。||【辨析】progression n.发展，前进；aggravation n.加剧，恶化；invasion    n.侵略，入侵
reflective|adj. 反射的；反映的；深思的|The alloy is highly reflective .|这种合金具有很强的反射性。|reflective learn 反思型学习|【辨析】reflect    v.反射（光、热或声音）；reflection n.（光、热或声音的）反射；【谐音】反复弗莱克踢我(reflective)"：反复沉思为什么弗莱克踢我，他是想反映什么吗？
park|n. 公园；园区；停车场；v. 停车|We can go picnic in the park this weekend.|本周末我们可以在公园里野餐。|stadium gym 运动场|【辨析】part n.部分；pork n.猪肉；dark adj.黑暗的，昏暗的；mark n.（品质或情感的）标志，迹象；pack v.（把……）打包，收拾（行李）；pink adj.粉红色的；port n.港口，避风港；fork n.餐叉，叉子；【谐音】帕克(park)"：在公园里停车。
occasionally|adv. 偶尔地|Disputes occasionally occurred between the couple.|夫妻之间偶尔会有争论。|complete monopoly 完全垄断；sleeping pill 安眠药|【辨析】occasional adj.偶尔的，不经常的；occasion   n.（某事发生的）时刻，时候；【谐音】偶开心的来(occasionally)"：偶尔我会开心地来一次。
exaggeration|n. 夸大|Although that story sounds like a slight exaggeration , it is true.|尽管那个故事听起来有点夸张，但它是真实的。||【辨析】exaggerate v.夸大，言过其实；evacuation n.撤离，疏散；aggression n.好斗性，攻击性
athletic|adj. 健壮的；运动的|He successfully improved his athletic ability by physical training.|他通过体能训练成功地提高了运动能力。|athletic school 体育学校|【辨析】athlete n.运动员，体育健将；ethic   n.行为准则，道德规范，伦理标准；ethnic  adj.（有关）种族的，民族的；【谐音】爱死了那体格(athletic)"：形容运动员的健壮体格。；【图���】adj. 运动的
draft|n. 草稿；草案；草图；v. 起草；强制征召（入伍）|This is only the first draft of my speech.|这只是我演讲的初稿。|draft into 征召……入伍；draft beer 生啤；NBA draft 2010 NBA2010 选秀；draft into the Army 应征入伍；rookie draft 新秀|【辨析】drift v.飘移，漂流；craft n.工艺，手艺；deaf  adj.聋的；【谐音】画(dra)福特(ft)"：这是我画的福特新款车草图。
payment|n. 支付（的款项）；报偿|The restaurant doesn't accept payment by credit card.|这家餐厅不接受信用卡支付。||【辨析】pavement n.<英>人行道；pay      v.支付，付；【谐音】赔门的(payment)"：要支付赔偿的钱。
postage|n. 邮资|I can save some money on postage if I pay my bills online.|如果我在线支付帐单，就能剩下一些邮费钱。||【辨析】posture  n.（坐或立的）姿势；hostage  n.人质；postpone v.推迟，延缓；【谐音】跑死腿子(postage)"：为了要邮费。
fill|v. （使）充满；堵住；满足；弥漫；担任；n. 填满…的量|He filled the bucket with water.|他把水桶装满了水。|fill someone in 向（某人）详述；fill a post 履行义务；be filled with 充满着；fell asleep 睡着了 句子The baby ''.'fell'.'' ''.'asleep'.''. 那孩子睡着了。|【辨析】fall    v.降落，落下；fell    n.（尤指英格兰北部的）山（冈），丘陵，高沼地；full    adj.满的，满是……的；hill    n.山丘，小山；bill    n.（商品、服务或餐馆的）账单；fully   adv.充分地，完全地，彻底地；fulfill vt.履行；【谐音】费油(fill)"：这车很费油，每次加油都要装满。
leg|n. 腿|I broke my leg playing football.|我的腿踢足球时骨折了。|On one’s last leg 濒临死亡；即将失败；pull one's leg 同...开玩笑；leg it 徒步；be buried in sadness 沉浸在悲伤之中；stop pulling my leg 别拿我开涮了|【辨析】lap  n.（人坐下时的）大腿面，膝上；lab  n.实验室 (=laboratory)；lip  n.嘴唇；toe  n.（人的）脚趾，（兽、鸟的）趾；ear  n.耳朵；eye  n.眼睛；head n.头；neck n.颈项，脖子；【谐音】累(leg)"：站久了腿就累了。；【变形】过去式：legged；过去分词：legged；现在分词：legging
manipulative|adj. 会摆布人的；熟练操作的|The employee must master manipulative skills such as typing.|员工必须掌握操纵技能，如打字。||【辨析】manipulate   v.操纵，摆布；manipulation n.操纵；manufacture  v.（用机器大量）生产，制造
serving|n. 一份食物|Servings of fast food can slow down your weight loss process.|吃太多份快餐会减缓你的减肥进程。||【辨析】servant n.仆人，佣人；service n.公共服务系统，公共事业；serve   v.（为……）工作，服务；severe  adj.十分严重的，极为恶劣的；【谐音】服(ser)一份(ving)"：上菜，服务。
crown|v. 为…加冕；n. 王冠，冕|King's crown is made of gold and decorated with jewels.|国王的王冠是用金子制成的，装饰着珠宝。|to crown it all 更妙的是；更糟糕的是；尤其是|【辨析】clown  n.小丑；frown  v.皱眉，蹙额；drown  v.（声音）压过，盖过；crow   n.乌鸦；crew   n.全体船员，全体机组人员；crawl  v.爬行，匍匐前进；throne n.（君王的）宝座，御座；【谐音】哭着(cry)自己的(own)"：想称王，哭着说王冠是我的。
excite|v. 激发；使激动|Don't excite yourself.|别激动。||【辨析】excited    adj.激动的，兴奋的；exciting   adj.令人兴奋的，令人激动的；recite     v.背诵，朗诵；exist      v.存在，实际上有；exact      adj.确切的，精确的；cite       v.引用，援引；exercise   n.运动，锻炼；excitement n.令人激动（或兴奋）的事，刺激因素；exit       n.出口，通道，太平门；expect     v.期待；site       n.（建筑的）工地，用地；【谐音】一刻赛特(excite)"：一提到比赛就变得非常兴奋、激动。
capitalist|n. 资本家；资本主义者；adj. 资本主义的|America is a capitalist country.|美国是个资本主义国家。|capitalist economy 资本主义经济；play down 轻描淡写； 故意缩小…的重要性；和善地对待； 放低身价|【辨析】capitalism n.资本主义；capacity   n.能力，才能；capable    adj.有能力的；socialism  n.社会主义，社会主义制度
manipulate|v. 操纵；（熟练地）使用|She manipulated the lights to get just the effect she wanted.|她熟练地操作着灯光，以达到她想要的效果。|manipulate account 作假帐 manipulate market 操纵市场|【辨析】manipulative adj.操纵的，善于摆布（他人）的；stipulate    v.规定，明确要求；manufacture  v.（用机器大量）生产，制造；manifest     v.显示，表明；maneuver     n.细致巧妙的移动，机动动作；manual       adj.手工的，体力的；【变形】现在分词：manipulate
reject|v. 拒绝；排斥|He was afraid she would reject him because he was a foreigner.|他担心女孩会因他不是本国人而拒绝他。||【辨析】object  n.物体，实物；project n.项目，计划；subject n.主题，话题；refuse  v.拒绝，回绝（做某事）
bean|n. 豆，豆科植物|He usually had beans for lunch.|他午餐常吃豆子。|broad bean 蚕豆；full of beans 精力旺盛|【辨析】mean  v.意味着；bear  v.手持，携带；beat  v.（反复地）敲，击，打；beach n.海滩，海滨；【谐音】豆饼(bean)"：一种豆类食品。
moreover|adv. 此外，而且|She enjoys dancing and, moreover , is good at it.|她不仅喜欢跳舞，还很擅长。||【辨析】however adv.然而，可是，不过
volume|n. 容量，体积；音量；（书）卷，册|The volume of traffic on the road hit the peak at seven o'clock.|道路交通量在七点时达到高峰。|volume of business 营业额；sales volume 销售量，销售规模 -- trading volume （股票）交易量|【辨析】value   n.价值；column  n.圆柱，纪念柱；voltage n.电压，伏特数；【谐音】我牛么(volume)"：我的体积和音量都最大。
deliberation|n. 细想，商议；审慎|After much deliberation , I signed my name on this contract.|经过深思熟虑，我在这份合同上签了名。|for deliberation 以供研究；with deliberation 从容地|【辨析】liberation    n.解放，解放运动；deliberate    adj.故意的，蓄意的；consideration n.考虑，斟酌；【谐音】递李白来信(deliberation)"：递给他李白的来信，他看信的样子从容熟虑。
tray|n. 盘，碟，托盘|The waitress brought us the drinks on a tray .|服务生用托盘把我们的饮料端了过来。||【辨析】pray    v.祈祷，祷告；gray    adj.灰色的；trap    n.（捕捉动物的）陷阱，网，夹子；tram    n.<英>有轨电车；ray     n.光束，光线；stray   v.走失，迷路；betray  v.背叛，出卖；portray v.描绘，描写；【谐音】背盘(tray)"：用来端东西的托盘。
nail|n. 指甲；钉子；v. （用钉子）固定；抓获并证明有罪|Stop biting your nails !|别咬指甲！|nailed down 确定，明确，用钉子钉住；i nailed it 我搞定了；nail down 确定，明确；用钉钉住；tooth and nail 拼命，竭尽全力；nail up 钉住，钉牢|【辨析】mail  n.邮政，邮递系统；tail  n.（动物的）尾巴；bail  n.保释；rail  n.铁路系统；fail  v.失败；hail  v.赞扬，欢呼；jail  n.监狱；sail  v.（人）航行；trail n.痕迹，踪迹；raid  n.突袭，袭击；【谐音】内凹(nail)"：钉钉子是个内凹的过程。
witty|adj. 言辞诙谐的；机智的|She is a witty talker.|她说话很有风趣。||【辨析】wit     n.（说话）风趣；witness n.（尤指犯罪或事故的）目击者；【谐音】问题(wit)多(ty)"：爱问问题的孩子往往很机智。；【变形】比较级：wittier；最高级：wittiest
nightmare|n. 噩梦；恐怖的经历；很难对付的人|I had a nightmare and cried out in horror.|我做了一个恶梦，惊恐地大叫。|in horror 惊恐中
facility|n. 场所，设施；天赋|The recreational facilities are now available to the public.|娱乐设备现在已经可以供公众使用。|public facility 公共设施|【辨析】utility    n.（煤气、水、电等的）公共服务，公用事业；capability n.能力，才能；facilitate v.使更容易，使便利；capacity   n.能力，才能；faculty    n.机能；【谐音】放心(faci)利体(lity)"：能放心使用的便利设施。；【变形】复数形式：facilities
acquaint|v. 使熟悉；使了解|Please acquaint me with the facts of the case.|请把这件事情如实告诉我。|acquaint with 使熟悉|【辨析】acquaintance n.相识的人，泛泛之交；acquire      v.获得，得到；acquisition  n.学得，习得
institutional|adj. 机构的|In many countries, institutional investors have become dominant players in the financial markets.|在许多国家，机构投资者已成为金融市场的主导者。||【辨析】institution    n.机构，团体；constitutional adj.宪法的；institute      n.研究所，学院，协会；【谐音】淹死他图什么(institutional)"：还不是进不了机构里面吗？
propose|v. 提议；计划；求婚|The government proposed changes to the education system.|政府建议改变教育制度。||【辨析】proposal    n.提议，建议；purpose     n.目的，意图；proper      adj.真正的，像样的；oppose      v.反抗，阻碍；suppose     v.推断，料想，猜想；compose     v.组成，构成；pose        v.造成，引起（威胁、危险、问题等）；expose      v.暴露，使显露；dispose     v.处理，放置，安排；proposition n.主张，观点；【变形】现在分词：proposing
cotton|n. 棉；棉织物|She was wearing a flowered cotton dress.|她身着一件印花棉布裙。|cotton up to 向...讨好|【辨析】button  n.纽扣，扣子；mutton  n.羊肉；cottage n.小屋，村舍，乡间别墅；bottom  n.底，底部；cartoon n.漫画，讽刺画；【谐音】靠疼(cotton)"：靠着很疼，所以垫块棉花。
overwhelm|v. （感情等）充溢；击败；使不知所措|She was overwhelmed by feelings of guilt.|她感到愧疚难当。||【辨析】overwhelming adj.难以抗拒的，令人不知所措的；overhaul     v.彻底检修，全面改造；overthrow    v.推翻，打倒；overflow     v.漫出，泛滥 ；overtake     v.追上， 赶上并超过（汽车或人）；overcome     v.克服，解决；【谐音】我们(whelm)"：超过了我们的能力，被淹没或击败。
familiarize|v. 使熟悉|I spent a few minutes familiarizing myself with the new schedule.|我花了几分钟熟悉新的时间表。|familiarize sb with sth 使sb熟悉sth|【辨析】familiar    adj.熟悉的；familiarity n.精通，通晓；【谐音】佛米粒啊(familiarize)"：佛熟悉米粒一下变成rice的过程。；【变形】现在分词：familiarizing
acquaintance|n. 认识的人；了解；有交情|The wealthy man has a large circle of friends and acquaintances .|这位富翁有一个庞大的朋友和熟人圈子。|made one's acquaitance 与某人相识；make one's acquaintance 与…结识；acquaintance ac 往里 qu 获得 aint无意义 ance后缀 往里获得的东西，掌握在手中的东西——熟人 熟事。|【辨析】acquaint    v.使熟悉，使了解；acquainted  adj.相识的，认识的；acquisition n.学得，习得
total|adj. 全部的；彻底的；n. 总数，总计；v. 共计；计算总和|This brought the total number of accidents so far this year to 113.|这使得今年迄今为止发生事故的总数达到113起。||【辨析】totally adv.完全地，整个地；title   n.（书籍、诗歌、图画、乐曲等的）名称，标题；tutor   n.家庭教师，私人教师；topic   n.题目，主题；【谐音】通通(total)"：就是所有的，全部的，通通合计在一起。；【变形】过去式：totalled/totaled；过去分词：totalled/totaled；现在分词：totaling/totalling
violin|n. 小提琴|You need more practice to play the violin well.|你需要多加练习才能演奏好小提琴。|be in tune with 与.....和谐；in tune with 与...和谐，一致|【辨析】violent  adj.暴力的；violence n.暴力，暴行；violate  v.违反，违背；【谐音】歪拎(violin)"：小提琴要歪着拎。
wage|n. 工资；v. 发动（战争，运动）|He earned a good weekly wage because of his outstanding performances.|因为他优异的表现，他挣到了可观的周薪。|wage on 开始，发动运动|【辨析】wave  v.挥手；stage n.阶段，时期；wagon n.（一般由马拉的）四轮运货车；【谐音】位置(wage)"：在公司里的位置决定了所得的工资。；【变形】现在分词：waging
kettle|n. 水壶|I'll put the kettle on and make some tea.|我要烧壶水沏茶。|electric kettle 电热水壶|【辨析】settle v.结束（争论、争端等），解决（分歧、纠纷等）；cattle n.牛；bottle n.瓶子；battle n.战役，战争；kite   n.风筝；castle n.城堡，堡垒；【谐音】开透(kettle)"：水壶里的水都开透了。；【变形】现在分词：kettling
diversity|n. 多样性|The festival showed the cultural diversity of the country.|这个节日显示了该国文化的多样性。|diversity of equities 股权多元化；cultural diversity 文化多样性|【辨析】diverse   adj.不同的，各式各样的；variety   n.多样化，变化；different adj.不同的；【谐音】待我撕题(diversity)"：题型太多样化了！；【变形】复数形式：diversities
shrimp|n. 虾|Add the shrimp and cook for 5 minutes.|放入小虾，煮五分钟。|shrimp cocktail 河虾鸡尾酒|【辨析】shrink v.（使）缩小，减少；【谐音】水(sh)边缘(rim)趴着(p)"：小虾米趴在水边。
oftentimes|adv. 经常|Oftentimes , I work 12 hours a day.|我常常一天工作12小时。|as oftentimes as 一样经常
native|adj. 本国的，本土的；天生的；土著的；n. 本地人|What's your native country?|你的祖国是哪里？|be native to 土产的|【辨析】nation   n.国家，民族；nature   n.大自然，自然界；national adj.国家的，全国的
shell|n. 壳，壳状物|We collected shells on the beach.|我们在海滩拾贝壳。|shell out 付款；an empty shell 空壳；stop a shell 中弹，挂彩；阵亡|【辨析】shall   aux.将要，将会（同I和we连用，表示将来）；shelter n.居所，住处；peel    v.除去，剥去（水果、蔬菜等的）皮；【谐音】晒噢(shell)"：在海边捡贝壳好晒。
concrete|adj. 具体的；混凝土的；有形的；n. 水泥，混凝土|You'd better give concrete examples to illustrate your ideas.|你最好给出具体的例子来说明你的想法。||【辨析】concert     n.音乐会，演奏会；concern     n.担心，忧虑；concentrate v.集中注意力，聚精会神；correct     adj.正确的，无误的；【谐音】靠颗粒的(concrete)"：混凝土就是靠颗粒组成的固体材料。
at|prep. 朝，向；在…|The gift shop is at the corner of the street.|礼品店在街角。|help yourself 别客气
necessarily|adv. 必要地；必然|Expensive things don't necessarily have the best quality.|东西贵不一定质量就是最好的。|not necessarily 未必的，不一定的|【辨析】necessary   adj.必要的，必需的；necessity   n.必需品，必需的事物；necessitate v.使成为必需，需要
needy|adj. 贫困的；需要情感支持的|The money from the sale go to help needy people in rural areas.|这次义卖得来的钱将用来帮助农村地区贫穷的人们。|the needy 贫穷的人|【辨析】needle n.缝衣针；greedy adj.贪婪的，贪心的；【变形】比较级：needier；最高级：neediest
candidate|n. 候选人|She is one of the leading candidates for the presidency.|她是总统职位的主要候选人之一。||【辨析】candle   n.蜡烛；dedicate v.致力于，献身于；calendar n.日历；delicate adj.柔和的，清淡的；【谐音】肯定得他(candidate)"：候选人都很有自信。
manufacture|v. 生产，制造；n. 制造，生产|He works for a company that manufactures parts for cars.|他为一家生产汽车零件的公司工作。|manufacturing fault 生产制作中的过错|【辨析】manufacturer n.生产商，制造商；【谐音】蒙牛(manu)工厂(facture)"：蒙牛工厂进行制造。；【变形】现在分词：manufacturing
agency|n. 中介；（政府）专门机构|You can book at your local travel agency .|你可以在当地的旅行社订票。|through the agency of 由于……的作用；by the agency of 在..的帮助下；Opposition party 在野党，反对党|【辨析】urgency   n.紧急，迫切；agent     n.代理人，代理商；agenda    n.待议事项，议事日程；emergency n.突发事件，紧急情况；【谐音】A整C(agency)"：是替B代理。；【变形】复数形式：agencies
extensive|adj. 广阔的；广泛的；数量大的|The extensive yard of the house provides space for kids to have fun.|院子很宽敞，给孩子们嬉戏玩耍提供了充足的空间。|extensive reading 泛读|【辨析】extensive adj. 广阔的；广泛的；大量的；expansive adj.广阔的；开朗的；expensive adj.昂贵的；extension n.延伸，扩展；excessive adj.过度的，过多的；intensive adj.加强的，集中的，深入细致的；exclusive adj.独有的，专用的；expense   n.代价，费用；extend    v.延伸；extent    n.程度；expansion n.扩大，扩张；expend    v.花费，消耗，耗尽
probability|n. 可能性；可能发生的事情；概率|The probability of winning the lottery is extremely low.|中彩票的概率极低。|in all probability 很可能 十有八九|【辨析】possibility n.可能，可能性；probable    adj.很可能发生（或存在等）的，大概的；【变形】复数形式：probabilities
