anticipate|v. 预料；预见；期盼|Nobody could have anticipated the result of the game.|没人能预料到比赛的结果。|resistance to 拒绝|【辨析】anticipation n.预期，预料；participate  v.参加，参与；appreciate   v.欣赏，鉴赏；【变形】现在分词：anticipating
far|adj. 较远的；adv. 远；久；非常|She moved to the far side of the river.|她去了河的另一边。|go far 有发展前途；far and wide 到处|【谐音】泛(far)"：走太远了，有点泛。；【变形】比较级：farther/further；最高级：farthest/furthest
seventeen|num. 十七|When she was seventeen , her family moved to this town.|她十七岁的时候，她全家搬到了这个小镇。|know one's own mind 自己决定做什么；know one's won mind 自己决定做什么|【辨析】seventy n.七十；seven   num.七个，七；【谐音】赛文庭(seventeen)"：十七。
alive|adj. 活着的；有活力的|We don't know whether he's alive or dead.|我们不知道他是死是活。|be alive to 对…敏感；发觉，关心；alive with 充满着,洋溢着；alike adj 相似的，相像的|【辨析】live   v.生存，活着；lively adj.活泼的，生气勃勃的；【谐音】爱辣舞(alive)"：喜欢跳辣舞的人很活泼。
merriment|n. 欢乐，嬉戏|His eyes sparkled with merriment when he was speaking.|他说话时眼睛里闪烁着欢乐的光芒。||【辨析】merit    n.优秀品质，价值；maritime adj.海上的，海事的；merry    adj.<旧>愉快的，高兴的
pocket|n. 衣服兜；小口袋；adj. 袖珍的|He put the pen in his coat pocket .|他把笔放进了上衣口袋。|pocket money 零花钱；in one's pocket 处于---控制|【辨析】rocket  n.火箭；packed  adj.挤满人的，非常拥挤的；pack    v.（把……）打包，收拾（行李）；package n.包裹；parcel  n.<英>包裹，邮包；【谐音】抛开他(pocket)"：从口袋里掏出东西。
cow|n. 母牛，奶牛|The cows are eating grass.|奶牛在吃草。|Cash cow 摇钱树
now|adv. 现在；马上；这样一来；然而；conj. 既然，由于|Now it's time for you to open your heart.|现在是你敞开心扉的时候了。|Just now 刚才；the now aging dictator 现在正在衰老下去的独裁者；National Organization of Women 全国妇女组织|【辨析】new      adj.新出现的，新兴的；cow      n.母牛，奶牛；bow      v.鞠躬，点头；how      adv.怎样，如何；sow      v.播种，种；low      adj.低的，矮的；row      n.一排，一行；know     v.知道；nowadays adv.如今，现在；【谐音】闹(now)"：现在正在发生。
donate|v. 捐赠|The charitable businessman has donated $10,000 for cancer research.|这位有善心的商人捐出了10000美元用于癌症研究。|donate B for A 将B捐给A；do n ate 不吃是因為要捐贈給別人|【辨析】donation n.捐赠物，捐赠，赠送；dominate v.统治，支配；devote   v.献身，致力；dedicate v.致力于，献身于；【谐音】兜内的(donate)"：把兜里的东西都捐献出去了。；【变形】现在分词：donating
doctor|n. 医生；博士|You'd better see a doctor about that cough.|你最好找医生治治你的咳嗽。|doctored the evidence 伪造证据|【谐音】刀开他(doctor)"：医生用手术刀给病人开刀。
schooling|n. 学校教育|The boy received little schooling , but he never gave up any chance to study.|这个男孩没受过什么教育，但他从不放弃任何学习的机会。||【辨析】school n.（中、小）学校；【谐音】事故零(schooling)"：学校教育的事故发生率为零。
of|prep. 属于，关于|The picture illustrates the love of a mother for her child.|图片展示了母亲对孩子的爱。|out of order 无次序的，混乱的, 有毛病的, 出故障的
safe|adj. 安全的，平安的；无害的；n. 保险箱|She didn't feel safe on her own.|她一个人待着，觉得不安全。|as safe as 像什么一样安全；safe driving 安全行车|【辨析】sale   n.出售，销售；save   v.救助，搭救；safety n.安全；sofa   n.沙发；soft   adj.软的，柔软的；salt   n.盐，食盐（=common salt）；sand   n.沙，沙子；【谐音】谁负(safe)"：谁负责我们的安全？；【变形】比较级：safer；最高级：safest
find|v. 发现；找到；认为|Look what I've found !|看我发现了什么！||【辨析】fine    adj.令人满意的，可以接受的；finding n.结果，发现；found   v.创办，成立；【谐音】翻的(find)"：翻找到的，表示发现。；【变形】过去式：found；过去分词：found
smoky|adj. 烟雾弥漫的；有烟熏味的|The fish has a smoky flavor.|那条鱼有烟熏风味。|smoky-eye makeup 烟熏妆；smoky chimneys 冒烟的烟囱；a smoky grey coat 烟灰色的大衣；smoky cheeses 烟燻味的乾酪|【辨析】smoggy adj.烟雾弥漫的；【谐音】丝冒开(smoky)"：冒烟的，烟雾弥漫的。；【变形】比较级：smokier；最高级：smokiest
generous|adj. 慷慨的；丰盛的；大量的；仁慈的|A generous gentleman donated lots of money to build this school.|一位慷慨的先生捐了很多钱来盖这所学校。|in the extreme 非常|【辨析】gorgeous   adj.美丽动人的；general    adj.总体的，普遍的；generate   v.产生，引起；generator  n.发电机；generosity n.慷慨，大方；generally  adv.笼统地，大概；generation n.一代（人）；gene       n.基因，遗传因子；genetic    adj.基因的，遗传学的；generalize v.概括，归纳；【谐音】真拿肉丝(generous)"：真拿肉丝，这么慷慨吗？
after|prep. 跟随，仅次于；在…之后；adv. 以后，后来；conj. 在…以后|They arrived shortly after 5.|他们是在5点钟刚过到达的。|soon after 很快；in after years 在以后的岁月里；seek after fame 追逐名誉|【辨析】afterward adv.以后，后来；【谐音】阿福特(after)"：阿福特喜欢在下午出门。
spontaneity|n. 自发性，自然举动|She was charmed by his spontaneity .|她被他的自然举动所吸引。||【辨析】spontaneous adj.自发的，非筹划安排的
magic|adj. 神奇的；有魔力的；n. 魔法；魔力|Do you believe in magic ?|你相信巫术吗？|by magic 像施了魔法似的|【辨析】comic   adj.滑稽的，好笑的；image   n.形象，印象；imagine v.想像，设想；【谐音】买杰克(magic)"：是一个魔术表演。
jog|v. 慢跑|He goes jogging every night.|他每晚慢跑。|jog along 缓慢行进|【辨析】fog n.雾；jar n.玻璃罐，广口瓶；jet n.喷气式飞机；jaw n.颌，颚；jam n.果酱；【谐音】嚼个(jog)"：嚼个口香糖慢跑。；【变形】过去式：jogged；过去分词：jogged；现在分词：jogging
fever|n. 发烧；狂热|Aspirin should help reduce the fever .|阿司匹林能够退烧。|finish him off 结束，完成；毁灭；吃完|【辨析】forever adv.永远
trade|n. 贸易；交易；行业；手艺；v. 做生意；营业；交易；互相交换|Trade between the two countries has increased.|两国之间的贸易增长了。|trade union leader 工会领袖；trade fair 贸易会，交易博览会，商品交易会，交易市场|【辨析】track n.小道，小径；train n.火车，列车；treat v.对待，看待；trend n.趋势，动态；truck n.卡车，载重汽车；trick n.花招，诡计，骗局；trunk n.树干；【谐音】吹的(trade)"：贸易都是吹的，谁吹得厉害谁就赢。；【变形】现在分词：trading
spade|n. 铲子，锹；（纸牌的）黑桃|The children took their buckets and spades to the beach.|孩子们带上自己的桶和铲子到海滩去了。|in senventh heaven 处于狂喜状态；aces the spades 黑桃A；spear n 矛|【辨析】space  n.空间，空地；spare  adj.备用的，外加的；spider n.蜘蛛；blade  n.刀片，刀刃；spread v.展开，打开；【谐音】四倍的(spade)"：有一把铁锹，干活速度加快四倍；也指扑克牌中的黑桃。；【变形】现在分词：spading
resumption|n. 重新开始，恢复|The people of both countries are hoping for an early resumption of free trade.|两国人民都希望早日恢复自由贸易。||【辨析】assumption   n.假定，假设；consumption  n.消费，消耗；interruption n.打断，插嘴；resume       v.恢复（职位），回到（座位）
